Zeit;Kanal A
(ms);(mV)

-22,84749911;2,04785900
-22,84249911;1,30290300
-22,83749911;1,11712600
-22,83249911;2,04785900
-22,82749911;1,48929600
-22,82249911;1,48929600
-22,81749911;1,11712600
-22,81249911;0,93073320
-22,80749911;1,11712600
-22,80249911;0,18577760
-22,79749911;0,18577760
-22,79249911;0,37217020
-22,78749911;-0,18577760
-22,78249911;0,55856290
-22,77749911;0,18577760
-22,77249911;0,00000000
-22,76749911;0,18577760
-22,76249911;0,00000000
-22,75749911;0,18577760
-22,75249911;0,55856290
-22,74749911;0,55856290
-22,74249911;0,00000000
-22,73749911;-0,55856290
-22,73249911;0,74434050
-22,72749911;0,55856290
-22,72249911;-0,37217020
-22,71749911;-0,37217020
-22,71249911;0,00000000
-22,70749911;0,74434050
-22,70249911;0,37217020
-22,69749911;0,18577760
-22,69249911;0,74434050
-22,68749911;-0,18577760
-22,68249911;-0,74434050
-22,67749911;0,00000000
-22,67249911;0,18577760
-22,66749911;-0,37217020
-22,66249911;0,55856290
-22,65749911;-0,74434050
-22,65249911;-0,55856290
-22,64749911;-0,55856290
-22,64249911;0,00000000
-22,63749911;-0,93073320
-22,63249911;-0,18577760
-22,62749911;-0,74434050
-22,62249911;-0,74434050
-22,61749911;-1,30290300
-22,61249911;-0,55856290
-22,60749911;-0,37217020
-22,60249911;-1,11712600
-22,59749911;0,00000000
-22,59249911;-0,37217020
-22,58749911;0,00000000
-22,58249911;-0,74434050
-22,57749911;-0,74434050
-22,57249911;-0,55856290
-22,56749911;-0,18577760
-22,56249911;0,18577760
-22,55749911;-0,37217020
-22,55249911;-0,55856290
-22,54749911;0,18577760
-22,54249911;0,00000000
-22,53749911;0,00000000
-22,53249911;0,18577760
-22,52749911;-0,18577760
-22,52249911;0,00000000
-22,51749911;0,55856290
-22,51249911;0,00000000
-22,50749911;0,93073320
-22,50249911;1,11712600
-22,49749912;0,55856290
-22,49249912;-0,37217020
-22,48749912;1,86146600
-22,48249912;0,37217020
-22,47749912;0,18577760
-22,47249912;1,11712600
-22,46749912;1,11712600
-22,46249912;0,93073320
-22,45749912;0,37217020
-22,45249912;0,93073320
-22,44749912;0,93073320
-22,44249912;0,93073320
-22,43749912;0,37217020
-22,43249912;0,18577760
-22,42749912;1,11712600
-22,42249912;1,11712600
-22,41749912;0,93073320
-22,41249912;1,86146600
-22,40749912;0,55856290
-22,40249912;1,11712600
-22,39749912;0,74434050
-22,39249912;0,93073320
-22,38749912;1,11712600
-22,38249912;1,11712600
-22,37749912;0,18577760
-22,37249912;0,55856290
-22,36749912;0,93073320
-22,36249912;1,11712600
-22,35749912;0,00000000
-22,35249912;0,18577760
-22,34749912;0,37217020
-22,34249912;0,00000000
-22,33749912;-0,74434050
-22,33249912;-1,30290300
-22,32749912;-0,55856290
-22,32249912;-0,37217020
-22,31749912;0,18577760
-22,31249912;-0,37217020
-22,30749912;-0,18577760
-22,30249912;-0,37217020
-22,29749912;-1,11712600
-22,29249912;-0,74434050
-22,28749912;0,18577760
-22,28249912;0,55856290
-22,27749912;-0,37217020
-22,27249912;-0,18577760
-22,26749912;-0,37217020
-22,26249912;0,00000000
-22,25749912;0,18577760
-22,25249912;0,18577760
-22,24749912;0,18577760
-22,24249912;0,18577760
-22,23749912;0,00000000
-22,23249912;0,55856290
